id,is_humor
9350,1
9351,1
9352,1
9353,1
9354,0
9355,1
9356,0
9357,1
9358,0
9359,1
9360,1
9361,0
9362,0
9363,1
9364,1
9365,1
9366,1
9367,1
9368,0
9369,1
9370,1
9371,1
9372,0
9373,1
9374,0
9375,0
9376,1
9377,1
9378,1
9379,1
9380,1
9381,1
9382,1
9383,1
9384,1
9385,0
9386,1
9387,0
9388,1
9389,1
9390,0
9391,0
9392,1
9393,1
9394,1
9395,1
9396,1
9397,1
9398,0
9399,1
9400,1
9401,1
9402,0
9403,1
9404,1
9405,0
9406,1
9407,0
9408,1
9409,0
9410,0
9411,1
9412,0
9413,0
9414,1
9415,0
9416,1
9417,0
9418,1
9419,0
9420,1
9421,1
9422,0
9423,1
9424,0
9425,1
9426,1
9427,1
9428,0
9429,1
9430,0
9431,0
9432,1
9433,0
9434,1
9435,0
9436,1
9437,0
9438,1
9439,1
9440,1
9441,1
9442,1
9443,0
9444,1
9445,1
9446,0
9447,1
9448,1
9449,1
9450,1
9451,1
9452,0
9453,1
9454,1
9455,1
9456,1
9457,1
9458,0
9459,0
9460,1
9461,0
9462,1
9463,0
9464,1
9465,1
9466,1
9467,1
9468,0
9469,0
9470,1
9471,1
9472,0
9473,0
9474,0
9475,0
9476,0
9477,1
9478,0
9479,0
9480,0
9481,0
9482,1
9483,1
9484,0
9485,1
9486,1
9487,0
9488,1
9489,1
9490,0
9491,1
9492,1
9493,1
9494,0
9495,1
9496,0
9497,1
9498,0
9499,1
9500,0
9501,1
9502,0
9503,1
9504,1
9505,1
9506,1
9507,1
9508,0
9509,1
9510,0
9511,1
9512,0
9513,0
9514,1
9515,1
9516,0
9517,1
9518,1
9519,0
9520,1
9521,1
9522,0
9523,1
9524,1
9525,1
9526,1
9527,1
9528,1
9529,1
9530,1
9531,1
9532,1
9533,0
9534,0
9535,1
9536,0
9537,1
9538,1
9539,1
9540,1
9541,0
9542,1
9543,0
9544,0
9545,1
9546,0
9547,0
9548,1
9549,0
9550,0
9551,1
9552,1
9553,1
9554,1
9555,0
9556,1
9557,1
9558,1
9559,1
9560,0
9561,0
9562,0
9563,0
9564,0
9565,1
9566,1
9567,1
9568,0
9569,1
9570,0
9571,0
9572,0
9573,1
9574,1
9575,1
9576,0
9577,1
9578,1
9579,1
9580,0
9581,0
9582,0
9583,1
9584,1
9585,1
9586,0
9587,0
9588,1
9589,0
9590,1
9591,1
9592,1
9593,0
9594,1
9595,1
9596,0
9597,1
9598,1
9599,1
9600,1
9601,0
9602,1
9603,1
9604,1
9605,1
9606,1
9607,0
9608,1
9609,1
9610,1
9611,0
9612,1
9613,0
9614,0
9615,1
9616,0
9617,0
9618,1
9619,1
9620,1
9621,1
9622,1
9623,0
9624,1
9625,1
9626,0
9627,0
9628,0
9629,0
9630,1
9631,0
9632,1
9633,0
9634,1
9635,1
9636,1
9637,0
9638,1
9639,1
9640,0
9641,1
9642,1
9643,0
9644,1
9645,1
9646,0
9647,0
9648,1
9649,1
9650,1
9651,1
9652,1
9653,1
9654,0
9655,1
9656,0
9657,1
9658,0
9659,0
9660,1
9661,1
9662,1
9663,0
9664,1
9665,1
9666,1
9667,0
9668,0
9669,0
9670,0
9671,1
9672,1
9673,1
9674,0
9675,1
9676,1
9677,1
9678,0
9679,1
9680,0
9681,1
9682,1
9683,1
9684,0
9685,0
9686,0
9687,1
9688,1
9689,1
9690,1
9691,0
9692,1
9693,0
9694,1
9695,0
9696,1
9697,0
9698,1
9699,0
9700,1
9701,1
9702,0
9703,1
9704,1
9705,1
9706,0
9707,0
9708,0
9709,0
9710,0
9711,1
9712,0
9713,1
9714,0
9715,1
9716,0
9717,0
9718,1
9719,0
9720,1
9721,1
9722,0
9723,1
9724,1
9725,1
9726,1
9727,1
9728,0
9729,1
9730,0
9731,0
9732,1
9733,1
9734,1
9735,1
9736,1
9737,0
9738,0
9739,0
9740,1
9741,0
9742,0
9743,1
9744,0
9745,0
9746,0
9747,1
9748,0
9749,1
9750,1
9751,0
9752,1
9753,1
9754,0
9755,1
9756,1
9757,0
9758,1
9759,1
9760,0
9761,1
9762,0
9763,0
9764,1
9765,0
9766,1
9767,0
9768,0
9769,0
9770,1
9771,1
9772,1
9773,1
9774,0
9775,0
9776,1
9777,0
9778,1
9779,1
9780,0
9781,0
9782,1
9783,1
9784,0
9785,0
9786,1
9787,0
9788,1
9789,1
9790,1
9791,1
9792,0
9793,0
9794,1
9795,1
9796,1
9797,0
9798,0
9799,1
9800,1
9801,1
9802,1
9803,1
9804,1
9805,0
9806,1
9807,1
9808,0
9809,1
9810,1
9811,1
9812,1
9813,1
9814,0
9815,1
9816,0
9817,0
9818,0
9819,0
9820,0
9821,1
9822,0
9823,0
9824,0
9825,1
9826,1
9827,1
9828,1
9829,1
9830,1
9831,1
9832,1
9833,1
9834,0
9835,1
9836,1
9837,1
9838,1
9839,0
9840,1
9841,0
9842,0
9843,0
9844,1
9845,1
9846,0
9847,1
9848,1
9849,1
9850,1
9851,1
9852,0
9853,0
9854,1
9855,0
9856,0
9857,1
9858,0
9859,1
9860,1
9861,1
9862,1
9863,1
9864,1
9865,1
9866,1
9867,1
9868,1
9869,0
9870,1
9871,1
9872,1
9873,1
9874,1
9875,0
9876,1
9877,1
9878,0
9879,1
9880,0
9881,1
9882,1
9883,1
9884,0
9885,0
9886,1
9887,1
9888,1
9889,0
9890,1
9891,1
9892,0
9893,0
9894,1
9895,0
9896,1
9897,1
9898,0
9899,1
9900,1
9901,0
9902,0
9903,1
9904,1
9905,1
9906,0
9907,1
9908,0
9909,1
9910,1
9911,1
9912,1
9913,1
9914,1
9915,1
9916,1
9917,1
9918,0
9919,0
9920,1
9921,1
9922,1
9923,0
9924,0
9925,0
9926,1
9927,1
9928,1
9929,1
9930,0
9931,1
9932,1
9933,0
9934,0
9935,1
9936,1
9937,0
9938,0
9939,1
9940,1
9941,1
9942,1
9943,1
9944,1
9945,0
9946,1
9947,1
9948,1
9949,0
9950,1
9951,1
9952,0
9953,0
9954,1
9955,1
9956,0
9957,0
9958,1
9959,1
9960,1
9961,1
9962,0
9963,0
9964,0
9965,1
9966,0
9967,0
9968,0
9969,1
9970,0
9971,1
9972,1
9973,0
9974,1
9975,1
9976,0
9977,0
9978,0
9979,0
9980,1
9981,0
9982,1
9983,1
9984,1
9985,1
9986,0
9987,1
9988,0
9989,0
9990,1
9991,0
9992,1
9993,1
9994,1
9995,1
9996,1
9997,1
9998,1
9999,0
10000,1
